Reference, Value, Footprint, Datasheet, MouserNo
"J_IN1","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"D_POS1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","630-HSMS-C150"
"D_NEG1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","630-HSMS-C150"
"R_NEG1","2K7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","71-CRCW08052K70JNE"
"R_POS1","2K7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","71-CRCW08052K70JNE"
"J_OUT1","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"J_OUT2","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"J_OUT3","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"J_OUT4","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"J_OUT5","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"J_OUT6","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"J_OUT7","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"J_OUT8","Conn_02x08_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","~"
"C1","220nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U_REG1","L7805","Package_TO_SOT_SMD:TO-263-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","511-L7805CD2T-TR"
"R_5VPP1","2K7","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","71-CRCW08052K70JNE"
"D_5VPP1","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","630-HSMS-C150"
